団体コード	uid	都道府県名（漢字）	市区町村名（漢字）	都道府県名（かな）	市区町村名（かな）	lat	lng
11002	code01100	北海道	札幌市	ほっかいどう	さっぽろし	42.99861457	141.2532713
12025	code01202	北海道	函館市	ほっかいどう	はこだてし	41.83087091	140.9116647
12033	code01203	北海道	小樽市	ほっかいどう	おたるし	43.15935221	141.0429156
12041	code01204	北海道	旭川市	ほっかいどう	あさひかわし	43.75496451	142.3995198
12050	code01205	北海道	室蘭市	ほっかいどう	むろらんし	42.36190923	140.9851121
12068	code01206	北海道	釧路市	ほっかいどう	くしろし	43.23210457	144.184362
12076	code01207	北海道	帯広市	ほっかいどう	おびひろし	42.7680526	143.0251861
12084	code01208	北海道	北見市	ほっかいどう	きたみし	43.84091408	143.6665995
12092	code01209	北海道	夕張市	ほっかいどう	ゆうばりし	43.05054138	142.130581
12106	code01210	北海道	岩見沢市	ほっかいどう	いわみざわし	43.18300195	141.8119124
12114	code01211	北海道	網走市	ほっかいどう	あばしりし	43.94928551	144.2356294
12122	code01212	北海道	留萌市	ほっかいどう	るもいし	43.88683002	141.7571235
12131	code01213	北海道	苫小牧市	ほっかいどう	とまこまいし	42.6798312	141.5869331
12149	code01214	北海道	稚内市	ほっかいどう	わっかないし	45.31883599	141.8046412
12157	code01215	北海道	美唄市	ほっかいどう	びばいし	43.34924858	141.910183
12165	code01216	北海道	芦別市	ほっかいどう	あしべつし	43.44309167	142.1997372
12173	code01217	北海道	江別市	ほっかいどう	えべつし	43.09879938	141.534176
12181	code01218	北海道	赤平市	ほっかいどう	あかびらし	43.56530366	142.074957
12190	code01219	北海道	紋別市	ほっかいどう	もんべつし	44.18174573	143.2619928
12203	code01220	北海道	士別市	ほっかいどう	しべつし	44.11127852	142.5261773
12211	code01221	北海道	名寄市	ほっかいどう	なよろし	44.32501696	142.495398
12220	code01222	北海道	三笠市	ほっかいどう	みかさし	43.23960357	141.9956493
12238	code01223	北海道	根室市	ほっかいどう	ねむろし	43.28448608	145.5204053
12246	code01224	北海道	千歳市	ほっかいどう	ちとせし	42.81039906	141.5261242
12254	code01225	北海道	滝川市	ほっかいどう	たきかわし	43.61136924	141.9644128
12262	code01226	北海道	砂川市	ほっかいどう	すながわし	43.50997517	141.9302341
12271	code01227	北海道	歌志内市	ほっかいどう	うたしないし	43.49418484	142.0432313
12289	code01228	北海道	深川市	ほっかいどう	ふかがわし	43.80427178	142.1021575
12297	code01229	北海道	富良野市	ほっかいどう	ふらのし	43.28342878	142.4723184
12301	code01230	北海道	登別市	ほっかいどう	のぼりべつし	42.47249674	141.0752242
12319	code01231	北海道	恵庭市	ほっかいどう	えにわし	42.87566706	141.4539163
12335	code01233	北海道	伊達市	ほっかいどう	だてし	42.70742641	141.0948029
12343	code01234	北海道	北広島市	ほっかいどう	きたひろしまし	42.9586724	141.5024802
12351	code01235	北海道	石狩市	ほっかいどう	いしかりし	43.43414491	141.4330286
12360	code01236	北海道	北斗市	ほっかいどう	ほくとし	41.87062403	140.5691576
